source,section,family,record_kind,scenario,k,method,objective_kind,status,fingerprint,start_policy,operating_mode,horizon,warmup,validation,time_limit,variables,rows,movement_variables,passenger_variables,build_seconds,network_seconds,prepare_seconds,solve_seconds,served,unserved,relative_gap,termination,timestamp,git_commit,root_lp_certified,ub,ub_field,lb,lb_field,time,time_field,waiting,maximum_wait_seconds,diagnostic_headway_feasible,diagnostic_headway_violation_count,exported_trajectory_count,objective_semantics,curve_basis,curve_samples,curve_units,first_ub,first_ub_time,first_lb,last_ub_improvement_time,last_lb_improvement_time,curve_end,curve_best_ub,curve_best_lb,ub_improvements,ub_at_30s,lb_at_30s,ub_at_60s,lb_at_60s,ub_at_120s,lb_at_120s,ub_at_300s,lb_at_300s,solver_policy_time_limit_seconds,solver_policy_threads,ub_at_600s,lb_at_600s,ub_at_1800s,lb_at_1800s,ub_at_3600s,lb_at_3600s,model_stats_variables,model_stats_constraints,primary_lower_bound,primary_upper_bound,secondary_lower_bound,secondary_upper_bound
benchmarks/output/bottleneck_diagnostics/20260715T142046Z__three_station_v0__journey_time__all.json,root.cases.1,bottleneck_diagnostics,diagnostic_case,three_station_v0,15,half_cabins_skip_wait,journey_time,optimal,,,,,,,300.0,59400,117492,59400,,1.1230604590382427,,,2.9546430110931396,,,0.0,,2026-07-15T14:20:46+00:00,f4f7bb743492d99cb42bd581e142c6d9e545c7c7,,,,0.0,best_bound,2.9546430110931396,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,3,reported_objective_units,0.0,2.947391986846924,0.0,,,2.9546430110931396,0.0,0.0,0,,,,,,,,,300.0,,,,,,,,,,,,,
benchmarks/output/bottleneck_diagnostics/20260715T142046Z__three_station_v0__journey_time__all.json,root.cases.2,bottleneck_diagnostics,diagnostic_case,three_station_v0,15,half_cabins_skip_wait,journey_time,optimal,,,,,,,300.0,74734,166756,59400,,1.5271897499915212,,,0.17299389839172363,2428,1052,1.7219325760592159e-16,,2026-07-15T14:20:46+00:00,f4f7bb743492d99cb42bd581e142c6d9e545c7c7,,2704294.5454545226,objective_value_seconds,2704294.545454522,best_bound,0.17299389839172363,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,4,reported_objective_units,4176000.0,0.013919830322265625,0.0,0.1596229076385498,0.1596229076385498,0.17299389839172363,2704294.5454545226,2704294.5454545226,1,,,,,,,,,300.0,,,,,,,,,,,,,
benchmarks/output/bottleneck_diagnostics/20260715T142828Z__five_station_v0__journey_time__all.json,root.cases.0,bottleneck_diagnostics,diagnostic_case,five_station_v0,31,half_cabins_skip_wait,journey_time,time_limit,,,,,,,300.0,252844,601181,170648,,5.696031832834706,,,300.0608620643616,1480,1720,0.49158550268400814,,2026-07-15T14:28:29+00:00,f4f7bb743492d99cb42bd581e142c6d9e545c7c7,,3155354.253353203,objective_value_seconds,1604227.8465724457,best_bound,300.0608620643616,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,5,reported_objective_units,3155354.2533532046,0.23238706588745117,-6.252776074688882e-13,,271.11776304244995,300.0608620643616,3155354.2533532046,1604227.8465724457,0,3155354.2533532046,,3155354.2533532046,-6.252776074688882e-13,3155354.2533532046,-6.252776074688882e-13,3155354.2533532046,1604227.8465724457,300.0,,,,,,,,,,,,,
benchmarks/output/bottleneck_diagnostics/20260715T142828Z__five_station_v0__journey_time__all.json,root.cases.1,bottleneck_diagnostics,diagnostic_case,five_station_v0,31,half_cabins_skip_wait,journey_time,optimal,,,,,,,300.0,170648,338298,170648,,3.164264583028853,,,11.713176012039185,,,0.0,,2026-07-15T14:28:29+00:00,f4f7bb743492d99cb42bd581e142c6d9e545c7c7,,,,0.0,best_bound,11.713176012039185,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,3,reported_objective_units,0.0,11.677456140518188,0.0,,,11.713176012039185,0.0,0.0,0,,,,,,,,,300.0,,,,,,,,,,,,,
benchmarks/output/bottleneck_diagnostics/20260715T142828Z__five_station_v0__journey_time__all.json,root.cases.2,bottleneck_diagnostics,diagnostic_case,five_station_v0,31,half_cabins_skip_wait,journey_time,optimal,,,,,,,300.0,252844,601181,170648,,5.49291200004518,,,1.0766820907592773,2544,656,2.0324495712357997e-15,,2026-07-15T14:28:29+00:00,f4f7bb743492d99cb42bd581e142c6d9e545c7c7,,1947463.2965722783,objective_value_seconds,1947463.2965722743,best_bound,1.0766820907592773,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,12,reported_objective_units,3840000.0,0.04970407485961914,0.0,1.041774034500122,0.9040720462799072,1.0766820907592773,1947463.2965722783,1947463.2965722757,9,,,,,,,,,300.0,,,,,,,,,,,,,
benchmarks/output/circle_half_skip_wait_20260716/artifacts/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all/five_station_circle_cw_half_skip_wait_v0/ean_passenger_service_journey_time.json,root,circle_half_skip_wait_20260716,artifact_snapshot,five_station_circle_cw_half_skip_wait_v0,,,,time_limit,,,,1200.0,,,1800.0,181319,407273,,,5.612054708879441,,,1800.1466851234436,1240,40,0.2768854239902989,,,,,646292.1607654807,objective_value_seconds,467343.2818103242,best_bound,1800.1466851234436,runtime_seconds,,,,,19,reported_objective_verify_domain,solver_runtime,42,reported_objective_units,668768.9952153084,0.18970513343811035,0.0,1480.5331530570984,1771.660842180252,1800.1466851234436,646292.1607654807,467343.28181032353,20,668768.9952153084,,668768.9952153084,0.0,668768.9952153084,0.0,668768.9952153084,0.0,,,668768.9952153084,0.0,646292.1607654807,467343.28181032353,,,,,,,,
benchmarks/output/circle_half_skip_wait_20260716/results/20260716T090821Z__five_station_circle_cw_half_skip_wait_v0__ean_passenger_journey_time__exact_optimality__optimized_all_stop__all.json,root,circle_half_skip_wait_20260716,result_document,five_station_circle_cw_half_skip_wait_v0,,half_skip_wait,journey_time,,,,,,,,,181319,407273,,,5.612054708879441,,,1800.1466851234436,1240,40,0.2768854239902989,,2026-07-16T09:38:29+00:00,67aa73b7774ac53d2e652ce30349622d73eb1647,,646292.1607654807,objective_value_seconds,467343.2818103242,best_bound,1800.1466851234436,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,42,reported_objective_units,668768.9952153084,0.18970513343811035,0.0,1480.5331530570984,1771.660842180252,1800.1466851234436,646292.1607654807,467343.28181032353,20,668768.9952153084,,668768.9952153084,0.0,668768.9952153084,0.0,668768.9952153084,0.0,1800.0,,668768.9952153084,0.0,646292.1607654807,467343.28181032353,,,,,,,,
benchmarks/output/combined_formulations_20260715/artifacts/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,root,combined_formulations_20260715,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,82398,233193,,,2.262474291957915,,,300.8058078289032,2428,1052,0.0651525878950434,,,,,2704689.090907703,objective_value_seconds,2528471.597183574,best_bound,300.8058078289032,runtime_seconds,,,,,15,reported_objective_verify_domain,solver_runtime,81,reported_objective_units,3435543.6363636353,0.08898782730102539,-1.3926637620897964e-12,135.32945895195007,164.21881198883057,300.8058078289032,2704689.0909083514,2528471.597183574,47,3028653.090909046,2463202.3554474544,2707414.4545454467,2504828.7617294486,2704713.454545449,2526950.5066153193,2704689.0909083514,2528471.597183574,,,,,,,,,,,,,,
benchmarks/output/combined_formulations_20260715/artifacts/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot/three_station_v0/ean_passenger_service_journey_time.json,root,combined_formulations_20260715,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,82398,182084,,,1.6933868331834674,,,303.43462204933167,2432,1048,0.05144041114356516,,,,,2704681.090909061,objective_value_seconds,2565551.1835804726,best_bound,303.43462204933167,runtime_seconds,,,,,15,reported_objective_verify_domain,solver_runtime,66,reported_objective_units,3435543.6363636353,0.060630083084106445,-2.5579538487363607e-13,153.87644600868225,302.72000908851624,303.43462204933167,2704681.090909061,2565551.1835804726,29,3401872.2727272427,2007990.7885605344,2708252.218181788,2560510.7658126876,2704894.072727248,2562320.8487550546,2704681.090909061,2562448.6135375984,,,,,,,,,,,,,,
benchmarks/output/combined_formulations_20260715/artifacts/20260715T112001Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation___6e51e5fc4e85/three_station_v0/ean_passenger_service_journey_time.json,root,combined_formulations_20260715,artifact_snapshot,three_station_v0,,,,time_limit,,,,1200.0,,,300.0,74734,166756,,,1.5451506660319865,,,301.6487319469452,2440,1040,0.04509072466122367,,,,,2704482.90909089,objective_value_seconds,2582535.8148860876,best_bound,301.6487319469452,runtime_seconds,,,,,15,reported_objective_verify_domain,solver_runtime,85,reported_objective_units,3435543.6363636353,0.05212593078613281,-2.5579538487363607e-13,239.3975088596344,301.516902923584,301.6487319469452,2704482.9090908896,2582535.8148860876,41,2766151.6363636362,2563461.978691098,2706259.999999971,2572877.3123945924,2704978.999999972,2579612.6920013963,2704482.9090908896,2581248.893056409,,,,,,,,,,,,,,
benchmarks/output/combined_formulations_20260715/results/20260715T110808Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all.json,root,combined_formulations_20260715,result_document,three_station_v0,,half_cabins_skip_wait,journey_time,,,,,,,,,82398,233193,,,2.262474291957915,,,300.8058078289032,2428,1052,0.0651525878950434,,2026-07-15T11:13:11+00:00,25b36f1a2f1253176feedc9714fe764b258788c8,,2704689.090907703,objective_value_seconds,2528471.597183574,best_bound,300.8058078289032,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,81,reported_objective_units,3435543.6363636353,0.08898782730102539,-1.3926637620897964e-12,135.32945895195007,164.21881198883057,300.8058078289032,2704689.0909083514,2528471.597183574,47,3028653.090909046,2463202.3554474544,2707414.4545454467,2504828.7617294486,2704713.454545449,2526950.5066153193,2704689.0909083514,2528471.597183574,300.0,,,,,,,,,,,,,
benchmarks/output/combined_formulations_20260715/results/20260715T111326Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+stop_skip_timing_affine+slot_activation_first_slot.json,root,combined_formulations_20260715,result_document,three_station_v0,,half_cabins_skip_wait,journey_time,,,,,,,,,82398,182084,,,1.6933868331834674,,,303.43462204933167,2432,1048,0.05144041114356516,,2026-07-15T11:18:32+00:00,25b36f1a2f1253176feedc9714fe764b258788c8,,2704681.090909061,objective_value_seconds,2565551.1835804726,best_bound,303.43462204933167,runtime_seconds,,,,,,reported_objective_verify_domain,solver_runtime,66,reported_objective_units,3435543.6363636353,0.060630083084106445,-2.5579538487363607e-13,153.87644600868225,302.72000908851624,303.43462204933167,2704681.090909061,2565551.1835804726,29,3401872.2727272427,2007990.7885605344,2708252.218181788,2560510.7658126876,2704894.072727248,2562320.8487550546,2704681.090909061,2562448.6135375984,300.0,,,,,,,,,,,,,
