source,method,k,fingerprint,t,stage,event,certified_global_lb,validated_global_ub,provisional_local_lb,provisional_local_ub
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,18,,10.282621082966216,mip_solve,solver_sample,0.0,,-267058612.79062256,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,18,,85.41065137495752,mip_solve,solver_sample,568785.5736079992,,568785.5736079992,1185886.16452
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,18,,86.4552212919807,mip_solve,solver_sample,568785.5736080001,,568785.5736080001,572994.6099759997
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,18,f5bbcb5e4dbc7b14f430b44549b2c7d073a096171a75e8aeacc99e6c16368c0a,86.98296733398456,complete,trial_completed,568785.5736079997,568785.5736079997,568785.5736079997,568785.5736079997
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,10.585568459006026,mip_solve,solver_sample,0.0,,-281947937.93307,
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,93.70561633398756,mip_solve,solver_sample,543383.4223056966,,543383.4223056966,1196784.811272
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,95.20330812502652,mip_solve,solver_sample,543383.4223056966,,543383.4223056966,1184548.537632
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,102.70138462504838,mip_solve,solver_sample,543385.2402269301,,543385.2402269301,543942.721432
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,104.25373104203027,mip_solve,solver_sample,543403.7731373324,,543403.7731373324,543942.721432
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,132.61401100002695,mip_solve,solver_sample,543403.7731373324,,543403.7731373324,543942.721432
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,136.10156820900738,mip_solve,solver_sample,543403.7731373324,,543403.7731373324,543721.23848
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,148.92373825004324,mip_solve,solver_sample,543403.7731373329,,543403.7731373329,543721.23848
benchmarks/output/ddd_fixed_k_arc_flow_campaigns/five_station_b_fixed_k_k17_22_screening/events.jsonl,skip_stop,19,,151.14669608394615,mip_solve,solver_sample,543403.7731373329,,543403.7731373329,543721.23848
