source,bytes,classification,records
benchmarks/output/ddd_fixed_k_feasibility_smoke/k23_unknown.json,592,result_or_diagnostic,1
benchmarks/output/ddd_fixed_k_feasibility_smoke/result.json,513,result_or_diagnostic,1
benchmarks/output/ddd_fixed_start_k_sweep/five_station_circle_cw_half_skip_no_wait_v0.json,14940,result_or_diagnostic,4
benchmarks/output/ddd_fixed_start_k_sweep_probe/five_station_circle_cw_half_skip_no_wait_v0.json,14413,result_or_diagnostic,4
benchmarks/output/ddd_fixed_start_refinement/five_station_circle_cw_half_skip_no_wait_v0.json,266420,result_or_diagnostic,1
benchmarks/output/ddd_fixed_start_refinement/three_station_half_no_skip_no_wait_v0.json,18602,result_or_diagnostic,1
benchmarks/output/ddd_fixed_start_refinement_batch_probe/five_station_circle_cw_half_skip_no_wait_v0.json,257975,result_or_diagnostic,1
benchmarks/output/ddd_fixed_start_refinement_cp_probe/five_station_circle_cw_half_skip_no_wait_v0.json,4439,result_or_diagnostic,1
benchmarks/output/ddd_fixed_start_refinement_incremental_warm/five_station_circle_cw_half_skip_no_wait_v0.json,883945,result_or_diagnostic,1
benchmarks/output/ddd_fixed_start_refinement_integer_storage/five_station_circle_cw_half_skip_no_wait_v0.json,704384,result_or_diagnostic,1
benchmarks/output/ddd_fixed_start_refinement_ticks/five_station_circle_cw_half_skip_no_wait_v0.json,704178,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/campaign.json,9555988,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k18/checkpoint.json,4334245,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k18/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k18_w300__journey_time.json,232165,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k18/result.json,862,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k19/checkpoint.json,3943229,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k19/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k19_w300__journey_time.json,135805,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k19/result.json,861,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k20/checkpoint.json,4069710,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k20/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k20_w300__journey_time.json,160036,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k20/result.json,862,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k21/checkpoint.json,5696054,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k21/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k21_w300__journey_time.json,286821,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/all_stop_no_wait/k21/result.json,863,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k18/checkpoint.json,7859066,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k18/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k18_w300__journey_time.json,546895,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k18/result.json,863,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k19/checkpoint.json,7149449,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k19/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k19_w300__journey_time.json,572588,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k19/result.json,862,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k20/checkpoint.json,7728655,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k20/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k20_w300__journey_time.json,598458,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k20/result.json,862,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k21/checkpoint.json,8767539,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k21/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k21_w300__journey_time.json,603527,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/policies/skip_stop_no_wait/k21/result.json,879,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k18_21/resolved_config.json,1708,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k19_long/campaign.json,7762432,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k19_long/policies/skip_stop_no_wait/k19/checkpoint.json,35088030,large_support_artifact_not_loaded,
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k19_long/policies/skip_stop_no_wait/k19/five_station_circle_cw_half_skip_no_wait_headway_b_v0__reservoir_k19_w300__journey_time.json,1199527,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k19_long/policies/skip_stop_no_wait/k19/result.json,887,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_half_demand_no_wait_k19_long/resolved_config.json,1351,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/campaign.json,1648955,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k18/checkpoint.json,2260934,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k18/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k18_w300__journey_time.json,103560,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k18/result.json,838,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k19/checkpoint.json,2507999,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k19/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k19_w300__journey_time.json,107995,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k19/result.json,840,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k20/checkpoint.json,3209762,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k20/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k20_w300__journey_time.json,130897,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k20/result.json,837,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k21/checkpoint.json,1439803,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k21/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k21_w300__journey_time.json,77705,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/all_stop_no_wait/k21/result.json,840,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k18/checkpoint.json,1270180,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k18/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k18_w300__journey_time.json,69537,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k18/result.json,841,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k19/checkpoint.json,2199667,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k19/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k19_w300__journey_time.json,107980,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k19/result.json,839,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k20/checkpoint.json,2111437,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k20/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k20_w300__journey_time.json,93684,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k20/result.json,841,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k21/checkpoint.json,1856990,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k21/five_station_circle_cw_full_skip_no_wait_headway_b_v0__reservoir_k21_w300__journey_time.json,97131,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/policies/skip_stop_no_wait/k21/result.json,841,result_or_diagnostic,1
benchmarks/output/ddd_fleet_sweeps/five_station_b_no_wait_k18_21/resolved_config.json,1574,support_or_manifest,0
benchmarks/output/ddd_fleet_sweeps/ui_preview/campaign.json,2554,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/focus_comparison/five_station_circle_cw_half_skip_no_wait_v0__c0__tight_convex_hull__focus0__10s.json,840,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/focus_comparison/five_station_circle_cw_half_skip_no_wait_v0__c0__tight_convex_hull__focus2__10s.json,840,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/focus_comparison/five_station_circle_cw_half_skip_no_wait_v0__c0__tight_convex_hull__focus2__30s.json,842,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/focus_comparison/five_station_circle_cw_half_skip_no_wait_v0__c0__tight_convex_hull__focus3__10s.json,842,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/passenger_flow/five_station_circle_cw_half_skip_no_wait_v0__c0__time_expanded_path__focus2__2s.json,828,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/smoke/five_station_circle_cw_half_skip_no_wait_v0__c0__tight_convex_hull__focus0__2s.json,845,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/time_coupled/five_station_circle_cw_half_skip_no_wait_v0__c0__time_expanded_path__focus0__2s.json,846,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/time_coupled/five_station_circle_cw_half_skip_no_wait_v0__c0__time_expanded_path__focus2__10s.json,846,result_or_diagnostic,1
benchmarks/output/ddd_frozen_trajectory_pricing/time_coupled/five_station_circle_cw_half_skip_no_wait_v0__c0__time_expanded_path__focus2__30s.json,845,result_or_diagnostic,1
benchmarks/output/ddd_horizon_contract_gate/waiting_best_audit.json,22633,support_or_manifest,0
benchmarks/output/ddd_horizon_contract_gate/warmup0_audit.json,22085,support_or_manifest,0
benchmarks/output/ddd_horizon_contract_gate/warmup300_audit.json,21979,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/build_product/config.json,710,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/build_product/result.json,557205,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat/k20/product_300s_seed0/config.json,852,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/product_300s_seed0/error.json,106,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/product_300s_seed0_v2/config.json,855,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/product_300s_seed0_v2/incumbent.json,641922,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/product_300s_seed0_v2/result.json,648079,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat/k20/unary_300s_seed0/config.json,848,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/unary_300s_seed0/incumbent.json,641701,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k20/unary_300s_seed0/result.json,646581,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat/k39/build_product/config.json,710,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k39/build_product/result.json,1106926,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat/k39/product_600s_seed0/arc_flow_seed.json,1251215,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat/k39/product_600s_seed0/best_incumbent.json,1266085,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k39/product_600s_seed0/config.json,867,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k39/product_600s_seed0/incumbent.json,1266054,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k39/product_600s_seed0/post_ip_validation.json,514,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat/k39/product_600s_seed0/result.json,1281473,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/diagnostics/allstop38_inclusion/no_wait/result.json,1285556,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/diagnostics/allstop38_inclusion/summary.json,1779,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/diagnostics/allstop38_inclusion/waiting_w1200/result.json,1292273,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/build_w1200/config.json,782,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/build_w1200/error.json,151,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/build_w1200_v2/config.json,785,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/build_w1200_v2/result.json,1110853,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/comparison.json,6433,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/no_wait_600s_seed0/best_incumbent.json,1284288,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/no_wait_600s_seed0/config.json,864,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/no_wait_600s_seed0/incumbent.json,1284209,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/no_wait_600s_seed0/post_ip_validation.json,214,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/no_wait_600s_seed0/result.json,1453750,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/smoke_w1200_30s/config.json,865,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/smoke_w1200_30s/incumbent.json,1288771,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/smoke_w1200_30s/result.json,1452262,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/w1200_600s_seed0/best_incumbent.json,1284309,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/w1200_600s_seed0/config.json,867,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/w1200_600s_seed0/incumbent.json,1284232,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/w1200_600s_seed0/post_ip_validation.json,212,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_waiting/k39/w1200_600s_seed0/result.json,1497611,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/comparison.json,8234,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/seed_preparation.json,691,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/shared_seed_warmup0.json,1273680,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/shared_seed_warmup300.json,1603434,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/best_incumbent.json,1286121,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/command.json,808,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/config.json,1023,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/incumbent.json,1286072,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/post_ip_validation.json,160,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/result.json,1510853,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup0_600s_seed0/terminal_tail_repair.json,263,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup300_600s_seed0/command.json,814,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup300_600s_seed0/config.json,1029,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup300_600s_seed0/incumbent.json,1618920,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup300_600s_seed0/post_ip_validation.json,401,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup300_600s_seed0/result.json,1874133,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup300_600s_seed0/terminal_tail_repair.json,263,support_or_manifest,0
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup_plan_original_demand_seed.json,159560,result_or_diagnostic,1
benchmarks/output/ddd_integrated_cp_sat_warmup/k39/warmup_plan_with_original_demand.json,199,result_or_diagnostic,1
benchmarks/output/ddd_labeled_gate_1h_k39/five_station_circle_cw_half_skip_no_wait_headway_b_v0_arc_flow_labeled_skip_stop_k39/result.json,103039,result_or_diagnostic,1
benchmarks/output/ddd_labeled_gate_1h_k39_awake/five_station_circle_cw_half_skip_no_wait_headway_b_v0_arc_flow_labeled_skip_stop_k39/result.json,103039,result_or_diagnostic,1
benchmarks/output/ddd_merge_aware_bpc/five_station_b_k20_gate_pair_batch_2m.json,302247,result_or_diagnostic,3
benchmarks/output/ddd_merge_aware_bpc/five_station_b_k20_gate_window_modes_2m.json,371176,result_or_diagnostic,3
benchmarks/output/ddd_merge_aware_bpc/five_station_b_k39_gate_batch_5m.json,167903,result_or_diagnostic,2
benchmarks/output/ddd_merge_aware_bpc/five_station_b_k39_gate_pair_merge_5m.json,751958,result_or_diagnostic,3
benchmarks/output/ddd_merge_aware_bpc/k20_corridor_gate.json,918853,result_or_diagnostic,3
benchmarks/output/ddd_movement_feasibility_cp_sat_k19/five_station_circle_cw_half_skip_no_wait_v0.json,5585,result_or_diagnostic,1
benchmarks/output/ddd_movement_refinement_diagnostic_k19/five_station_circle_cw_half_skip_no_wait_v0.json,540650,result_or_diagnostic,1
benchmarks/output/ddd_movement_refinement_diagnostic_k19_after_fix/five_station_circle_cw_half_skip_no_wait_v0.json,558047,result_or_diagnostic,1
benchmarks/output/ddd_pair_root_k39_coordinated_interval5_10m/five_station_circle_cw_half_skip_no_wait_headway_b_v0__journey_time.json,620705,result_or_diagnostic,1
benchmarks/output/ddd_partial_passenger_benders/k20_hybrid_20_control.json,27774,result_or_diagnostic,1
benchmarks/output/ddd_partial_passenger_benders/k20_hybrid_20_core_point.json,17037,result_or_diagnostic,1
benchmarks/output/ddd_partial_passenger_benders/k20_hybrid_40_control.json,18223,result_or_diagnostic,1
benchmarks/output/ddd_passenger_decomposition/five_station_b_k20.json,3117,support_or_manifest,0
benchmarks/output/ddd_passenger_decomposition/five_station_b_k20_diverse.json,5862,support_or_manifest,0
benchmarks/output/ddd_passenger_decomposition/five_station_b_k20_diverse_controlled.json,6100,support_or_manifest,0
benchmarks/output/ddd_passenger_decomposition/five_station_b_k38_feasibility.json,2428,support_or_manifest,0
benchmarks/output/ddd_passenger_master/ab20_bootstrap_equality/five_station_circle_cw_half_skip_no_wait_v0.json,415883,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/ab20_bootstrap_nearest/five_station_circle_cw_half_skip_no_wait_v0.json,397578,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/ab20_equality_no_nearest/five_station_circle_cw_half_skip_no_wait_v0.json,420696,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/ab20_timed_flow_no_nearest/five_station_circle_cw_half_skip_no_wait_v0.json,423251,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/five_station_k19_free_primal/five_station_circle_cw_half_skip_no_wait_v0.json,268785,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/five_station_k19_skip_no_wait_50/five_station_circle_cw_half_skip_no_wait_v0.json,231780,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/five_station_k19_structural_earliest_50/five_station_circle_cw_half_skip_no_wait_v0.json,233404,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/fixed_schedule_diagnostic_bootstrap/five_station_circle_cw_half_skip_no_wait_v0.json,324414,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/fixed_schedule_diagnostic_nearest/five_station_circle_cw_half_skip_no_wait_v0.json,350926,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/local_explainability_20/five_station_circle_cw_half_skip_no_wait_v0.json,4704533,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/local_explainability_20_2s/five_station_circle_cw_half_skip_no_wait_v0.json,5024970,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_cabin_path_baseline_3/five_station_circle_cw_half_skip_no_wait_v0.json,336488,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_cabin_path_smoke_10/five_station_circle_cw_half_skip_no_wait_v0.json,379609,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_cabin_path_smoke_3/five_station_circle_cw_half_skip_no_wait_v0.json,355898,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_cabin_path_smoke_3_fixed/five_station_circle_cw_half_skip_no_wait_v0.json,337080,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_raw_core_10/five_station_circle_cw_half_skip_no_wait_v0.json,380262,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_raw_core_200/five_station_circle_cw_half_skip_no_wait_v0.json,1566083,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_raw_core_baseline_10/five_station_circle_cw_half_skip_no_wait_v0.json,378039,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/selective_route_literal_core_10/five_station_circle_cw_half_skip_no_wait_v0.json,380209,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/smoke_bootstrap_nearest/five_station_circle_cw_half_skip_no_wait_v0.json,305334,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/three_station_k15_diagnostics_20/three_station_half_no_skip_no_wait_v0.json,364080,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/three_station_k15_indexed_20/three_station_half_no_skip_no_wait_v0.json,364165,result_or_diagnostic,1
benchmarks/output/ddd_passenger_master/three_station_k15_indexed_50/three_station_half_no_skip_no_wait_v0.json,501279,result_or_diagnostic,1
benchmarks/output/ddd_phase0_census/census.json,17948,support_or_manifest,0
benchmarks/output/ddd_phase0_combined_refinement/three_station_two_cabin_network_refinement_v0.json,7915,result_or_diagnostic,1
benchmarks/output/ddd_phase0_conflict_loop/three_station_two_cabin_stop_skip_merge_v0.json,2000,result_or_diagnostic,1
benchmarks/output/ddd_phase0_network_time_refinement/three_station_time_refinement_v0.json,2149,result_or_diagnostic,1
benchmarks/output/ddd_phase0_reference/three_station_half_no_skip_no_wait_v0.json,16960,result_or_diagnostic,1
benchmarks/output/ddd_phase0_reference/three_station_two_cabin_stop_skip_merge_v0.json,1396,result_or_diagnostic,1
benchmarks/output/ddd_phase0_scaling/scaling.json,12747,support_or_manifest,0
benchmarks/output/ddd_phase0_time_refinement/event_cell_bound_probe_v0.json,2315,result_or_diagnostic,1
benchmarks/output/ddd_progress_compact_smoke/five_station_circle_cw_half_skip_no_wait_v0.json,9270,result_or_diagnostic,1
benchmarks/output/ddd_progress_fixed_width_smoke/five_station_circle_cw_half_skip_no_wait_v0.json,9283,result_or_diagnostic,1
benchmarks/output/ddd_progress_fixed_width_smoke_2/five_station_circle_cw_half_skip_no_wait_v0.json,9268,result_or_diagnostic,1
benchmarks/output/ddd_reservation_insertion/assignment_comparison_v1.json,1037,result_or_diagnostic,2
benchmarks/output/ddd_reservation_insertion/assignment_polished_v1/cp_seed.json,1283895,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/assignment_polished_v1/incumbent.json,1283906,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/assignment_polished_v1/result.json,423,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/config.json,1111575,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/cp_seed.json,1284309,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/incumbent.json,1284320,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/initial.json,1284320,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/requests.json,10041,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope1_integrated/result.json,1360,result_or_diagnostic,1
benchmarks/output/ddd_reservation_insertion/followup_cached_scope4/config.json,1110581,support_or_manifest,0
benchmarks/output/ddd_reservation_insertion/followup_cached_scope4/incumbent.json,1284320,support_or_manifest,0
