source,bytes,classification,records
benchmarks/output/artifacts/20260513T122736Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/artifacts/20260513T122736Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/ean_build_artifact.json,25070973,support_or_manifest,0
benchmarks/output/artifacts/20260513T122736Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/ean_passenger_service_journey_time.json,304815,result_or_diagnostic,1
benchmarks/output/artifacts/20260513T122736Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208563,support_or_manifest,0
benchmarks/output/artifacts/20260513T122736Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,533722,support_or_manifest,0
benchmarks/output/artifacts/20260513T122736Z__three_station_v0__ean_passenger_journey_time__exact_optimality__none/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/manifest.json,3266,support_or_manifest,0
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/three_station_v0/ean_build_artifact.json,25070973,support_or_manifest,0
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/three_station_v0/ean_passenger_service_journey_time.json,303973,result_or_diagnostic,1
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208943,support_or_manifest,0
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,534723,support_or_manifest,0
benchmarks/output/artifacts/20260513T132325Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/manifest.json,3266,support_or_manifest,0
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/three_station_v0/ean_build_artifact.json,25070973,support_or_manifest,0
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/three_station_v0/ean_passenger_service_journey_time.json,303774,result_or_diagnostic,1
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208825,support_or_manifest,0
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,535439,support_or_manifest,0
benchmarks/output/artifacts/20260513T134429Z__three_station_v0__ean_passenger_journey_time__exact_optimality__slot_time_relaxation_strengthening/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/manifest.json,3266,support_or_manifest,0
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_build_artifact.json,25070973,support_or_manifest,0
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time.json,304305,result_or_diagnostic,1
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_movement_plan.json,208554,support_or_manifest,0
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/ean_passenger_service_journey_time_physical_replay.json,534365,support_or_manifest,0
benchmarks/output/artifacts/20260513T150615Z__three_station_v0__ean_passenger_journey_time__exact_optimality__all/three_station_v0/scenario.json,14521,support_or_manifest,0
benchmarks/output/artifacts/20260513T151210Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/manifest.json,3266,support_or_manifest,0
benchmarks/output/artifacts/20260513T151210Z__three_station_v0__ean_passenger_journey_time__exact_optimality__candidate_horizon_pruning+single_ring_dominated_ride_pruning+slot_time_relaxation_strengthening+tight_big_m_bounds/three_station_v0/discrete_dt_0p5.json,1391543,support_or_manifest,0
